time	V(n001)
2.899934800000001e-01	-3.000000e+00
2.899960400000002e-01	-3.000000e+00
2.899990000000000e-01	-3.000000e+00
2.899991000000000e-01	-2.700000e+00
2.899993000000000e-01	-2.100000e+00
2.899997000000000e-01	-9.000000e-01
2.900000000000000e-01	0.000000e+00
2.900012000000000e-01	0.000000e+00
2.999900000000000e-01	0.000000e+00
2.999901000000000e-01	-3.000000e-01
2.999903000000000e-01	-9.000000e-01
2.999907000000000e-01	-2.100000e+00
2.999910000000000e-01	-3.000000e+00
2.999912400000000e-01	-3.000000e+00
2.999915600000000e-01	-3.000000e+00
2.999922000000000e-01	-3.000000e+00
2.999934800000001e-01	-3.000000e+00
2.999960400000002e-01	-3.000000e+00
2.999990000000000e-01	-3.000000e+00
2.999991000000000e-01	-2.700000e+00
2.999993000000000e-01	-2.100000e+00
2.999997000000000e-01	-9.000000e-01
3.000000000000000e-01	0.000000e+00
3.099900000000000e-01	0.000000e+00
3.099901000000000e-01	-3.000000e-01
3.099903000000000e-01	-9.000000e-01
3.099907000000000e-01	-2.100000e+00
3.099910000000000e-01	-3.000000e+00
3.099912399999999e-01	-3.000000e+00
3.099915599999999e-01	-3.000000e+00
3.099921999999999e-01	-3.000000e+00
3.099934799999999e-01	-3.000000e+00
3.099960399999999e-01	-3.000000e+00
3.099990000000000e-01	-3.000000e+00
3.099991000000000e-01	-2.700000e+00
3.099993000000000e-01	-2.100000e+00
3.099997000000000e-01	-9.000000e-01
3.100000000000000e-01	0.000000e+00
3.199900000000000e-01	0.000000e+00
3.199901000000000e-01	-3.000000e-01
3.199903000000000e-01	-9.000000e-01
3.199907000000000e-01	-2.100000e+00
3.199910000000000e-01	-3.000000e+00
3.199912400000000e-01	-3.000000e+00
3.199915600000000e-01	-3.000000e+00
3.199921999999999e-01	-3.000000e+00
3.199934799999999e-01	-3.000000e+00
3.199960399999999e-01	-3.000000e+00
3.199990000000000e-01	-3.000000e+00
3.199991000000000e-01	-2.700000e+00
3.199993000000000e-01	-2.100000e+00
3.199997000000000e-01	-9.000000e-01
3.200000000000000e-01	0.000000e+00
3.299900000000000e-01	0.000000e+00
3.299901000000000e-01	-3.000000e-01
3.299903000000000e-01	-9.000000e-01
3.299907000000000e-01	-2.100000e+00
3.299910000000000e-01	-3.000000e+00
3.299912400000000e-01	-3.000000e+00
3.299915600000000e-01	-3.000000e+00
3.299922000000000e-01	-3.000000e+00
3.299934800000000e-01	-3.000000e+00
3.299960399999999e-01	-3.000000e+00
3.299990000000000e-01	-3.000000e+00
3.299991000000000e-01	-2.700000e+00
3.299993000000000e-01	-2.100000e+00
3.299997000000000e-01	-9.000000e-01
3.300000000000000e-01	0.000000e+00
3.399900000000000e-01	0.000000e+00
3.399901000000000e-01	-3.000000e-01
3.399903000000000e-01	-9.000000e-01
3.399907000000000e-01	-2.100000e+00
3.399910000000000e-01	-3.000000e+00
3.399912400000000e-01	-3.000000e+00
3.399915600000000e-01	-3.000000e+00
3.399922000000000e-01	-3.000000e+00
3.399934800000001e-01	-3.000000e+00
3.399960400000002e-01	-3.000000e+00
3.399990000000000e-01	-3.000000e+00
3.399991000000000e-01	-2.700000e+00
3.399993000000000e-01	-2.100000e+00
3.399997000000000e-01	-9.000000e-01
3.400000000000000e-01	0.000000e+00
3.499900000000000e-01	0.000000e+00
3.499901000000000e-01	-3.000000e-01
3.499903000000000e-01	-9.000000e-01
3.499907000000000e-01	-2.100000e+00
3.499910000000000e-01	-3.000000e+00
3.499912400000000e-01	-3.000000e+00
3.499915600000000e-01	-3.000000e+00
3.499922000000000e-01	-3.000000e+00
3.499934800000001e-01	-3.000000e+00
3.499960400000002e-01	-3.000000e+00
3.499990000000000e-01	-3.000000e+00
3.499991000000000e-01	-2.700000e+00
3.499993000000000e-01	-2.100000e+00
3.499997000000000e-01	-9.000000e-01
3.500000000000000e-01	0.000000e+00
3.599900000000000e-01	0.000000e+00
3.599901000000000e-01	-3.000000e-01
3.599903000000000e-01	-9.000000e-01
3.599907000000000e-01	-2.100000e+00
3.599910000000000e-01	-3.000000e+00
3.599912400000000e-01	-3.000000e+00
3.599915600000000e-01	-3.000000e+00
3.599922000000000e-01	-3.000000e+00
3.599934800000001e-01	-3.000000e+00
3.599960400000002e-01	-3.000000e+00
3.599990000000000e-01	-3.000000e+00
3.599991000000000e-01	-2.700000e+00
3.599993000000000e-01	-2.100000e+00
3.599997000000000e-01	-9.000000e-01
3.600000000000000e-01	0.000000e+00
3.699900000000000e-01	0.000000e+00
3.699901000000000e-01	-3.000000e-01
3.699903000000000e-01	-9.000000e-01
3.699907000000000e-01	-2.100000e+00
